drive_id,route_counter,wall_date,date,n_segs,n_elig,engaged_frac,weave_path,weave_steer,hunt_steer,centering_abs,centering_signed,spd_mph,sr_start,sr_end,aoa_start,aoa_end,stf,cal_yaw,cal_pitch,cal_roll,calperc_start,calperc_min,calperc_end,lc_kp,pi_set
route_23,35,1775493648.214357,2026-04-06 16:40,2,0,0.0,,,,,,,16.860355377197266,16.859546661376953,0.0454951114952564,0.0604933761060237,1.0000044107437134,-2.9519290924072266,2.3807408809661865,-0.014815492555499,100.0,100.0,100.0,,unknown/manual
route_22,34,1775492954.3498003,2026-04-06 16:29,14,0,0.9161222136817831,,,,,,,16.7983341217041,16.811979293823242,0.0169522743672132,0.1658930629491806,0.9998340010643004,-2.9574174880981445,2.4010376930236816,-0.0150324888527393,100.0,100.0,100.0,,unknown/manual
route_0f,15,1775000460.378852,2026-03-31 23:41,21,4,0.5025962224962679,2.1383583418754535,0.8286299071680447,0.179251653439539,0.183299034833908,-0.0934254601597786,49.27052689430237,16.898147583007812,16.913822174072266,-0.8198094964027405,-0.7772703766822815,0.9982593059539796,-2.8660218715667725,2.4157907962799072,-0.0115608368068933,100.0,100.0,100.0,,unknown/manual
route_26,38,1775496960.1829164,2026-04-06 17:36,14,0,0.7759638930234791,,,,,,,16.769607543945312,16.818025588989258,0.1806777715682983,0.4319683015346527,0.9999399781227112,-3.010897159576416,2.3666446208953857,-0.0172789152711629,100.0,100.0,100.0,,unknown/manual
route_21,33,1775492464.1147432,2026-04-06 16:21,20,0,0.7608560680764034,,,,,,,16.788368225097656,16.798206329345703,-0.0647392123937606,0.0160641949623823,0.9999476671218872,-2.987993001937866,2.410842180252075,-0.0163239203393459,100.0,100.0,100.0,,unknown/manual
route_10,16,1775002344.9971533,2026-04-01 00:12,27,6,0.6872358086967627,1.59224862064535,0.6904315170603331,0.1389999747334911,0.1351744011044502,-0.1114036627113819,55.89785652039528,16.913822174072266,16.770755767822266,-0.7772703766822815,-0.5698486566543579,0.997959554195404,-2.931788206100464,2.4295589923858643,-0.0143467718735337,100.0,100.0,100.0,,unknown/manual
route_18,24,1775484724.2925956,2026-04-06 14:12,28,2,0.4812260909821885,1.7369053431723334,0.6905678048021195,0.1690284212896421,0.1481565982103347,-0.1076392661780119,50.68971711883545,16.82260513305664,16.767982482910156,-0.9815310835838318,-0.7709519863128662,1.0,-2.844564199447632,2.462946653366089,-0.0103652197867631,100.0,100.0,100.0,,unknown/manual
route_0d,13,1774994380.7483804,2026-03-31 21:59,31,7,0.6299421117713361,1.5192207136600735,0.7016668016010553,0.1548431260617086,0.2450594007968902,-0.1826072633266449,56.50057802345276,16.915830612182617,16.904645919799805,-0.4293176233768463,-0.98454350233078,0.9951435327529908,-2.873246192932129,2.4028260707855225,-0.0118703451007604,100.0,100.0,100.0,,unknown/manual
route_2f,47,1775672873.8428314,2026-04-08 18:27,12,1,0.9360419249408316,0.6925251781193057,0.4407400110009677,0.1077745624811845,0.0858133658766746,0.0768777057528495,78.06893208271026,16.370952606201172,16.383420944213867,-0.1256566643714904,-0.0526021569967269,0.9998291730880736,-3.046584129333496,2.3640599250793457,-0.0186441168189048,100.0,100.0,100.0,,unknown/manual
route_31,49,1775674580.1888251,2026-04-08 18:56,13,0,0.9459842596666178,,,,,,,16.495058059692383,16.511625289916992,-0.1297697871923446,-0.0085143465548753,0.9997684955596924,-3.2348732948303223,2.371306896209717,-0.0264635570347309,100.0,100.0,100.0,,unknown/manual
route_15,21,1775395280.6338627,2026-04-05 13:21,34,8,0.7762014187231492,1.5072836254759905,0.6405958843770228,0.1733795534533785,0.1876106038689613,-0.1213762871921062,54.58425138448716,16.809206008911133,16.835725784301758,-1.116047501564026,-1.1299370527267456,0.9983456134796144,-2.852962017059326,2.333603858947754,-0.0110034672543406,100.0,100.0,100.0,,unknown/manual
route_20,32,1775491809.6680806,2026-04-06 16:10,36,0,0.6952801075370605,,,,,,,16.768484115600586,16.788883209228516,-0.280911386013031,-0.063084565103054,0.9993800520896912,-3.0068883895874023,2.416856050491333,-0.0171217583119869,100.0,100.0,100.0,,unknown/manual
route_35,53,1775679123.054381,2026-04-08 20:12,9,0,0.8521478521478522,,,,,,,16.683547973632812,16.69399070739746,-0.0945932492613792,0.0478726662695407,0.999739706516266,-3.0033814907073975,2.3362998962402344,-0.0167193803936243,100.0,100.0,100.0,,unknown/manual
route_33,51,1775676654.1976995,2026-04-08 19:30,15,1,0.9318400139725788,0.9009616821170572,0.4370581433556657,0.2565193837182032,0.2376058995723724,-0.2350576221942901,75.7858869388962,16.658750534057617,16.693368911743164,-0.2904938459396362,-0.1296496391296386,0.9996526837348938,-3.0775246620178223,2.398021697998047,-0.0198604017496109,100.0,100.0,100.0,,unknown/manual
