drive_id,route_counter,wall_date,date,n_segs,n_elig,engaged_frac,weave_path,weave_steer,hunt_steer,centering_abs,centering_signed,spd_mph,sr_start,sr_end,aoa_start,aoa_end,stf,cal_yaw,cal_pitch,cal_roll,calperc_start,calperc_min,calperc_end,lc_kp,pi_set,pi_bin,is_reset,epoch,drives_since_reset,days_since_reset
route_15,21,1775395280.6338627,2026-04-05 13:21,34,8,0.7762014187231492,1.5072836254759905,0.6405958843770228,0.1733795534533785,0.1876106038689613,-0.1213762871921062,54.58425138448716,16.809206008911133,16.835725784301758,-1.116047501564026,-1.1299370527267456,0.9983456134796144,-2.852962017059326,2.333603858947754,-0.0110034672543406,100.0,100.0,100.0,,unknown/manual,0,False,6,1.0,0.026215557199074077
route_16,22,1775431280.132508,2026-04-05 23:21,40,4,0.759125512395081,1.6353243383466185,0.7423123962703161,0.1050007639478251,0.2086540982127189,-0.173339769244194,56.93307294414521,16.835725784301758,17.11701202392578,-1.1299370527267456,-0.6126704812049866,0.9924793243408204,-2.874295949935913,2.5220344066619873,-0.0116847697645425,100.0,100.0,100.0,,unknown/manual,0,False,6,2.0,0.44287642115740744
route_1c,28,1775487330.8011544,2026-04-06 14:55,48,5,0.6048385738585648,1.2755583276749958,0.6568929988974624,0.1402246023244091,0.1013759523630142,0.0257042273879051,72.92661282989502,16.7442684173584,17.098236083984375,-0.7559530735015869,-0.3296360373497009,0.9957091808319092,-3.4575560092926025,2.59928560256958,-0.0258921943604946,100.0,100.0,100.0,,unknown/manual,0,False,6,3.0,1.0916110119675926
route_25,37,1775496190.5133195,2026-04-06 17:23,47,5,0.2654844980211727,0.704725965553033,0.4257706945600696,0.1581527387626314,0.2549041211605072,0.2475502341985702,72.46567232398988,16.893569946289062,16.795835494995117,-0.0808493196964263,0.2229312658309936,1.0042959451675415,-2.996095895767212,2.385345458984375,-0.0166691988706588,100.0,100.0,100.0,,unknown/manual,0,False,6,4.0,1.1941539768402778
route_27,39,1775498980.4892735,2026-04-06 18:09,50,6,0.7269748281304336,0.6342475924316604,0.3779908162209356,0.1450662368680327,0.1749103516340255,0.1150882206857204,74.94262914915086,16.861347198486328,16.593721389770508,0.2537080943584442,0.2667977809906006,0.9992934465408324,-3.0767011642456055,2.38950252532959,-0.0199886709451675,100.0,100.0,100.0,,unknown/manual,0,False,6,5.0,1.2264453651967593
route_3a,58,1775822514.1785495,2026-04-10 12:01,11,3,0.5869718724255619,1.704731665984729,0.6785348262991282,0.1204176143408165,0.1091633215546608,-0.0870446860790252,62.01544825674058,16.425838470458984,16.34149932861328,-0.4013879001140594,0.2301783710718155,1.0004489421844482,-2.9473588466644287,2.4253883361816406,-0.0143635738641023,100.0,100.0,100.0,,unknown/manual,0,True,7,0.0,0.0
route_3c,60,1775934691.1293066,2026-04-11 19:11,107,6,0.6373606594006802,0.9868084564002412,0.5216438768955947,0.101262180147688,0.0954137854278087,-0.0555569576099514,62.02829506296158,16.340373992919922,16.756990432739258,-0.1521172374486923,-0.9482421875,0.9925910234451294,-2.9295406341552734,2.437103748321533,-0.0136101404204964,100.0,100.0,100.0,,unknown/manual,0,False,7,1.0,1.2983443374652777
route_3d,61,1775947574.804027,2026-04-11 22:46,95,10,0.6658265423282645,1.2394645514914466,0.5943685457941406,0.1576792655418424,0.1339930519461631,-0.0388088095933198,61.66562985134125,16.74761962890625,16.798194885253906,-0.9385966062545776,-0.0377781130373477,1.0002548694610596,-2.874629497528076,2.4730427265167236,-0.0112484265118837,100.0,100.0,100.0,,unknown/manual,0,False,7,2.0,1.4474609430208332
route_3e,62,1775999585.4510295,2026-04-12 13:13,17,5,0.7950918762088974,1.3895794288242953,0.6121385999703278,0.2181472774167591,0.1300676763057708,-0.0821611583232879,59.25559716400147,16.791757583618164,16.745882034301758,-0.0623075142502784,-0.180680975317955,0.9995512962341307,-2.86138916015625,2.491966485977173,-0.0106729855760931,100.0,100.0,100.0,,unknown/manual,0,False,7,3.0,2.0494360240740743
route_3f,63,1776001256.2742577,2026-04-12 13:40,41,16,0.5952856572113464,1.291301922023365,0.5945516168431015,0.1278198729110317,0.191478244960308,-0.0761963352560997,63.826492737417226,16.809356689453125,16.44486427307129,-0.1805161386728286,0.6507266759872437,0.9980405569076538,-2.8164141178131104,2.458296775817871,-0.0087310811504721,100.0,100.0,100.0,,unknown/manual,0,False,7,4.0,2.06877425587963
