drive_id,pi_set,driving_model,wall_date,order,seg_t,weave_path,weave_steer,hunt_steer,centering_abs,centering_signed,spd_mph,elig_s,steerRatio,angleOffsetAvg,angleOffset,stiffness,cal_yaw,cal_pitch,cal_roll,int_abs,int_railed_frac
b8,golden,CD210,1764094627.887948,1,675.0,4.465388295169191,1.7994858317450182,0.19278046133002072,0.07352335751056671,0.005103911738842726,37.54066748836517,28.62,16.47367286682129,-0.3328528106212616,-0.25109586119651794,1.0149555206298828,-2.914860725402832,2.448453664779663,-0.011866630986332893,0.15700945950877473,0.11041229909154437
b8,golden,CD210,1764094627.887948,1,1125.0,3.3235025150748445,1.2017603551954388,0.3771657990187957,0.0946454331278801,-0.008103220723569393,56.187015259323125,27.28,16.439924240112305,-0.35238680243492126,-0.28914469480514526,1.0012001991271973,-2.91076922416687,2.463256597518921,-0.011690197512507439,0.13012286241792081,0.14076246334310852
b8,golden,CD210,1764094627.887948,1,1260.0,3.8340290846933582,1.6623954235516842,0.3596113874432943,0.1444096714258194,-0.021226121112704277,60.14574728977204,27.1,16.595563888549805,-0.4116893708705902,-0.3176847994327545,0.9980967044830322,-2.88704252243042,2.445608139038086,-0.010675137862563133,0.19760381596095486,0.192619926199262
b8,golden,CD210,1764094627.887948,1,1350.0,1.4138991164116375,0.6873919671280154,0.15287971642284368,0.07607956230640411,-0.025277163833379745,62.18461138296128,45.0,16.73712921142578,-0.4061533808708191,-0.462959885597229,0.9960074424743652,-2.878126621246338,2.447538137435913,-0.010293802246451378,0.26204992826325035,0.33466666666666667
b8,golden,CD210,1764094627.887948,1,1395.0,2.283685184613867,1.005227787862748,0.14673368116338276,0.13228660821914673,-0.04932643473148346,62.13890943515778,28.94,16.740388870239258,-0.4329644441604614,-0.6257302165031433,0.9959254264831543,-2.8801372051239014,2.4602935314178467,-0.010379723273217678,0.2555767933913177,0.2736696613683483
b8,golden,CD210,1764094627.887948,1,1620.0,1.225862972962943,0.5638085664583676,0.11708264230968807,0.06828168779611588,0.0448976531624794,62.68021181259156,45.0,16.76036262512207,-0.49128782749176025,-0.519261360168457,0.9950740337371826,-2.8775107860565186,2.4467012882232666,-0.01026452612131834,0.17212783507359422,0.17155555555555554
b5,weak,CD210,1764094628.5455053,2,90.0,2.6400898951633063,0.9560175565268122,0.07866525002488699,0.1297949254512787,-0.10439226031303406,47.91671842285156,33.08,16.605419158935547,0.029392004013061523,-0.6574289798736572,0.9999842643737793,-2.9191315174102783,2.4672927856445312,-0.011961500160396099,0.2609938938914759,0.5870616686819831
b5,weak,CD210,1764094628.5455053,2,360.0,3.4865925020775785,1.3784279788995406,0.16504905928779295,0.12218299508094788,-0.06222059205174446,49.81633909378052,30.4,16.609657287597656,-0.2301076352596283,-0.5675439834594727,1.0003020763397217,-2.926693916320801,2.4928483963012695,-0.012288147583603859,0.2107802346168628,0.24605263157894736
b5,weak,CD210,1764094628.5455053,2,405.0,4.369894500819151,1.7074639219497423,0.2749564508114905,0.2144472897052765,0.061153583228588104,53.36974606803894,45.0,16.668785095214844,-0.36497366428375244,-0.6478046178817749,0.9995630979537964,-2.9280283451080322,2.5033013820648193,-0.012346138246357441,0.1016515537116962,0.024444444444444446
b5,weak,CD210,1764094628.5455053,2,450.0,4.073985195855481,1.6149586986812088,0.24359562829498144,0.15473705530166626,-0.05877304449677467,53.59076788114548,44.36,16.678926467895508,-0.43179023265838623,-0.5880137085914612,0.9993652701377869,-2.932521104812622,2.507692337036133,-0.012541739270091057,0.16552016633607938,0.09197475202885483
