setting,drive_id,config_id,driving_model,controller_set,window_start_s,eligible_s,eligible_frac,speed_median_mps,speed_p25_mps,speed_p75_mps,road_curv_median,road_curv_abs_median,lat_median,lon_median,steer_rms_deg,steer_pp_sine_deg,actual_curv_rms_1pm,lat_accel_rms_mps2,lat_disp_pp_sine_cm,cmd_curv_rms_1pm,desired_curv_rms_1pm,controls_curv_rms_1pm,model_path_y20_rms_m,model_curv_rms_1pm,lane_center_y20_rms_m,lane_good_frac,steer_peak_freq_hz,x_m,y_m,speed_bin,curv_bin,x_cell_500m,y_cell_500m,speed_curve_stratum,gps_speed_curve_stratum
primary,drive_02,B,CD210,set2,1170.0,24.7,0.8233333333333334,26.233618354452283,25.140151165172973,26.796179847181342,6.983278507359621e-05,0.0003659779075648336,33.89567003009837,-84.58636511795208,1.677591351006669,4.7449448814268695,4.527763056793452,0.27551758006912386,143.738130915219,4.377638178379579,4.377887348810649,4.610281276557902,0.07696697394810136,3.5084485979934827,0.2049077416574737,0.979757085020243,0.1171875,2231.9406175575195,-481.69745470759267,10,0,4,-1,10|0,4|-1|10|0
primary,drive_02,B,CD210,set2,1260.0,22.35,0.745,26.997138500213623,25.87973053898125,27.401352802845324,-0.00045334218869221113,0.00045334218869221113,33.89729908832991,-84.59299142617154,1.6980478359396385,4.802804558288242,3.9180784212599127,0.2771270580125848,144.57779911818557,4.495657193248064,4.495565496970648,4.1753506089759584,0.08376196566792726,4.387658654095482,0.16131386061485675,1.0,0.1171875,1619.6900307927276,-301.6213577935632,10,-1,3,-1,10|-1,3|-1|10|-1
primary,drive_02,B,CD210,set2,1350.0,30.0,1.0,27.962900191545486,27.61555486312136,28.14209416712266,-0.00033034973397648237,0.00034247324116788724,33.90441528338231,-84.61052112005181,0.6169859296524867,1.745099739015838,1.2213005120051372,0.08851258611980513,25.974681722957282,1.120185506241843,1.1201747917801854,1.4938206493901987,0.02306067201807629,1.0242560950892954,0.08787077177028248,0.8833333333333333,0.15625,0.0,485.00284329921374,11,-1,0,0,11|-1,0|0|11|-1
primary,drive_02,B,CD210,set2,1380.0,30.0,1.0,27.79657673149398,27.755713048158093,27.844362880393852,-4.4450136877205374e-05,0.0001970972178470954,33.90266690034427,-84.61944248183494,0.800975484349857,2.2655007861918532,1.712604632738698,0.13239550115741291,24.865569283612615,1.615503123788619,1.615496297882766,1.812116670794926,0.03365068734779678,14.225566501036788,0.09226985202316793,0.8566666666666667,0.1953125,-824.3065075698627,291.7365822741209,11,-1,-2,0,11|-1,-2|0|11|-1
primary,drive_02,B,CD210,set2,1590.0,30.0,1.0,26.658806223981763,25.73177978306495,27.089088654428856,-0.00031412218703062364,0.00031412218703062364,33.89753169383643,-84.64095372071816,0.884118838989439,2.500665705696839,1.916736716974924,0.13389392886118967,25.146993180641,1.8001665319598001,1.8000910624590516,2.0587531910119456,0.03322205695477014,1.8166047663442604,0.10642881420063832,0.925,0.1953125,-2811.87910336711,-275.9091451030338,10,-1,-6,-1,10|-1,-6|-1|10|-1
primary,drive_02,B,CD210,set2,1620.0,30.0,1.0,28.01051259266608,27.878695084597755,28.099241090818445,-0.0009888593923881943,0.0009888593923881943,33.89683892189885,-84.64992418131249,0.5752798319768173,1.6271370810826609,1.2762214739022173,0.09960847584203744,12.991490540509353,1.109094970498639,1.1090599255487132,1.3282506886782017,0.0243665086028872,1.0750244607913786,0.07507094294664443,0.905,0.234375,-3640.722190729699,-352.4881550830773,11,-2,-8,-1,11|-2,-8|-1|11|-2
primary,drive_02,B,CD210,set2,1650.0,30.0,1.0,27.49339175094133,27.154554580387316,28.14869899358722,-0.0003380844241418988,0.0003380844241418988,33.89970265854528,-84.65852039210378,0.739736467201132,2.092290688995602,1.9523670167995586,0.14623858765988937,14.012999014493209,1.58566703929724,1.5857138358960867,1.9396771648803508,0.08576346301012308,15.570923350383566,0.0727288791990127,0.7716666666666666,0.2734375,-4434.985742412159,-35.93070618644447,10,-1,-9,-1,10|-1,-9|-1|10|-1
primary,drive_03,C,OPM7,set1,360.0,30.0,1.0,28.711339200463186,27.029214217600362,30.064999883809783,-0.00037251680907971656,0.00037251680907971656,33.93261297420523,-84.26123126594501,0.4893401102035891,1.3840628409261213,0.9601359070207045,0.0738862200502108,7.079988567423884,0.9461456966272874,0.9461542067177158,1.117322646701874,0.01748499982548655,0.7042364409318728,0.04088615603166946,1.0,0.2734375,32273.312838072157,3601.9755868641287,11,-1,64,7,11|-1,64|7|11|-1
primary,drive_03,C,OPM7,set1,390.0,30.0,1.0,28.456195158309107,28.225365595756102,28.73568675942316,-0.0003451443854158195,0.0003451443854158195,33.929108418555344,-84.26937263902225,0.44534049913949597,1.2596131475141579,0.9255137470488831,0.07496646827344314,5.499867981094832,0.8493872483432212,0.8493897988967898,1.0120715329352499,0.01636343348837518,0.6764298866191661,0.045732757760679636,1.0,0.3125,31521.074898252744,3214.5820053260677,11,-1,63,6,11|-1,63|6|11|-1
primary,drive_03,C,OPM7,set1,420.0,21.9,0.73,30.19309117832232,28.922704252657077,30.414796736074727,0.00031445147293388025,0.0004038594570285138,33.92492364182549,-84.27914288968887,0.48181440214234145,1.3627769241127674,1.0116524196928565,0.08814936488384627,8.446723829953559,1.2531562614654979,1.2531342306806772,1.0665811184294391,0.023703593532450187,1.1945934363566895,0.0693604564175693,1.0,0.2734375,30618.333657524403,2751.996785607594,12,0,61,5,12|0,61|5|12|0
primary,drive_03,C,OPM7,set1,450.0,22.7,0.7566666666666666,26.8215813381518,26.227471561279074,28.07142275714916,0.0007345699191432934,0.0007345699191432934,33.920559152847005,-84.28358390259021,0.5084329092799662,1.4380654317210755,1.3009603040099773,0.09560626663511657,49.87800076665147,1.1730489652834168,1.1730882162499183,1.3482633162112145,0.028507814069067907,1.5483749384666023,0.06977073746476245,1.0,0.1171875,30207.99766580393,2269.5461739262473,10,1,60,4,10|1,60|4|10|1
primary,drive_03,C,OPM7,set1,540.0,22.15,0.7383333333333333,33.921592154869664,33.54066361312137,34.26941353958789,-0.000298309746088542,0.000298309746088542,33.920352935791016,-84.30457269466476,0.44711872046427725,1.2646427169429713,0.7451120314605982,0.08578663199170916,44.75507565399769,0.9161913849737342,0.916175971699745,0.8531945447664444,0.017308973308342746,0.7987356088954506,0.06528940475911761,1.0,0.1171875,28268.697555162875,2246.750940557162,13,-1,56,4,13|-1,56|4|13|-1
primary,drive_03,C,OPM7,set1,570.0,30.0,1.0,33.79040561815607,33.541240596211004,33.99012021442384,-0.0002873502501844762,0.0002873502501844762,33.92033004760742,-84.31431441059146,0.28270903965279787,0.7996219161649197,0.4380902371450318,0.05038047132701462,9.46209719644087,0.5095360021540022,0.5095656349298519,0.5251876199050652,0.00842020598005963,0.412359140662323,0.030789068579366204,1.0,0.1953125,27368.592837016236,2244.2208807427087,13,-1,54,4,13|-1,54|4|13|-1
