setting,subset,metric,comparison,config_low_reference,config_high_reference,a_n_drives,b_n_drives,a_median,b_median,diff,diff_pct_of_a,drive_boot_ci_low,drive_boot_ci_high,exact_drive_perm_p,a_n_windows,b_n_windows,matched_strata
broad_band,gps_speed_curve_matched,cmd_curv_rms_1pm,B-minus-A,A,B,2,1,1.6936357456992552,1.7400932424864481,0.04645749678719291,2.7430630762940056,-0.10049318634268478,0.19340817991707082,1.0,3,2,2.0
broad_band,gps_speed_curve_matched,desired_curv_rms_1pm,B-minus-A,A,B,2,1,1.6936276939512063,1.7400763824585397,0.04644868850733341,2.742556033609097,-0.10050689665381496,0.19340427366848179,1.0,3,2,2.0
broad_band,speed_curve_matched,steer_rms_deg,C-minus-A,A,C,3,2,0.9415093032790849,0.8223396425768275,-0.11916966070225743,-12.657300388558436,-0.2627016735703468,0.02888155851437957,0.2,36,19,8.0
broad_band,speed_curve_matched,actual_curv_rms_1pm,C-minus-A,A,C,3,2,2.3326372804492257,1.8712209667581714,-0.4614163136910543,-19.780885676413156,-0.5858030489911139,-0.27890504838315855,0.1,36,19,8.0
broad_band,speed_curve_matched,lat_accel_rms_mps2,C-minus-A,A,C,3,2,0.12323587529101569,0.11831896600995069,-0.004916909281065002,-3.9898359706164728,-0.04213184537643366,0.02620355565256889,0.8,36,19,8.0
broad_band,speed_curve_matched,cmd_curv_rms_1pm,C-minus-A,A,C,3,2,2.0331772544113944,1.8474346878762962,-0.18574256653509824,-9.135581569786487,-0.3522363596072602,-0.0621490806616285,0.1,36,19,8.0
broad_band,speed_curve_matched,desired_curv_rms_1pm,C-minus-A,A,C,3,2,2.0335092712570053,1.847469008164429,-0.18604026309257637,-9.148729524974152,-0.3522034830980276,-0.062149550725368874,0.1,36,19,8.0
broad_band,gps_speed_curve_matched,steer_rms_deg,C-minus-A,A,C,1,2,1.4323363759317487,1.444219905989455,0.01188353005770626,0.8296605641936524,-0.6179498327381507,0.6417168928535633,1.0,4,4,4.0
broad_band,gps_speed_curve_matched,actual_curv_rms_1pm,C-minus-A,A,C,1,2,3.6561590126719907,3.814310275533579,0.1581512628615882,4.325612269965475,-1.6254812199730182,1.9417837456961942,1.0,4,4,4.0
broad_band,gps_speed_curve_matched,lat_accel_rms_mps2,C-minus-A,A,C,1,2,0.20621276208113565,0.21218205660990458,0.005969294528768931,2.8947260433960325,-0.09684197010577353,0.10878055916331142,1.0,4,4,4.0
broad_band,gps_speed_curve_matched,cmd_curv_rms_1pm,C-minus-A,A,C,1,2,3.2243060252271887,3.9699482012505083,0.7456421760233196,23.125663947198706,-1.286466388893378,2.777750740940017,1.0,4,4,4.0
broad_band,gps_speed_curve_matched,desired_curv_rms_1pm,C-minus-A,A,C,1,2,3.224269355046936,3.969938635709293,0.7456692806623573,23.126767603803454,-1.2864293019838857,2.7777678633086,1.0,4,4,4.0
broad_band,speed_curve_matched,steer_rms_deg,C-minus-B,B,C,1,2,0.7986285615754269,0.5798250986736173,-0.21880346290180963,-27.397400171887618,-0.2576654140348573,-0.17994151176876194,0.3333333333333333,10,8,4.0
broad_band,speed_curve_matched,actual_curv_rms_1pm,C-minus-B,B,C,1,2,1.8786983737067948,1.251483353027798,-0.6272150206789968,-33.38561577830402,-0.7639124821254792,-0.4905175592325146,0.3333333333333333,10,8,4.0
broad_band,speed_curve_matched,lat_accel_rms_mps2,C-minus-B,B,C,1,2,0.1364851960461822,0.09070411799017289,-0.04578107805600931,-33.54288917936453,-0.04770409819108895,-0.04385805792092966,0.3333333333333333,10,8,4.0
broad_band,speed_curve_matched,cmd_curv_rms_1pm,C-minus-B,B,C,1,2,1.7400932424864481,1.1899888567824937,-0.5501043857039545,-31.613500487933692,-0.6797439859743473,-0.4204647854335617,0.3333333333333333,10,8,4.0
broad_band,speed_curve_matched,desired_curv_rms_1pm,C-minus-B,B,C,1,2,1.7400763824585397,1.189978153063116,-0.5500982293954237,-31.613453003608637,-0.6796940114806709,-0.4205024473101766,0.3333333333333333,10,8,4.0
broad_band,gps_speed_curve_matched,steer_rms_deg,C-minus-B,B,C,1,1,0.5601887813223705,0.4450114444958246,-0.1151773368265459,-20.560450452909922,-0.1151773368265459,-0.1151773368265459,1.0,3,3,3.0
broad_band,gps_speed_curve_matched,actual_curv_rms_1pm,C-minus-B,B,C,1,1,1.1934592721039512,0.9752939812669995,-0.2181652908369517,-18.28007841879244,-0.2181652908369517,-0.2181652908369517,1.0,3,3,3.0
broad_band,gps_speed_curve_matched,lat_accel_rms_mps2,C-minus-B,B,C,1,1,0.09163969328994111,0.0778639184264116,-0.013775774863529502,-15.032541433703827,-0.013775774863529502,-0.013775774863529502,1.0,3,3,3.0
broad_band,gps_speed_curve_matched,cmd_curv_rms_1pm,C-minus-B,B,C,1,1,1.2512116097046746,0.9699982168603681,-0.28121339284430646,-22.47528640744324,-0.28121339284430646,-0.28121339284430646,1.0,3,3,3.0
broad_band,gps_speed_curve_matched,desired_curv_rms_1pm,C-minus-B,B,C,1,1,1.2512120609612079,0.969998534480916,-0.28121352648029185,-22.475288982129666,-0.28121352648029185,-0.28121352648029185,1.0,3,3,3.0
loose_curve,speed_curve_matched,steer_rms_deg,B-minus-A,A,B,3,1,0.6506093124627172,0.842547161669648,0.1919378492069308,29.501245298871996,0.053067014114867694,0.26143410817339063,0.5,14,8,3.0
loose_curve,speed_curve_matched,actual_curv_rms_1pm,B-minus-A,A,B,3,1,1.5521428525102563,1.9345518668872415,0.38240901437698516,24.637488344485888,0.09355307524909695,0.694794578138354,0.5,14,8,3.0
