setting,subset,metric,comparison,n_strata,a_n_windows,b_n_windows,weighted_mean_diff,weighted_median_diff,stratum_boot_ci_low,stratum_boot_ci_high,share_strata_b_less_than_a
narrow_band,gps_speed_curve_matched,desired_curv_rms_1pm,C-minus-A,4,4,4,0.6075795985221585,-0.1101746215074717,-0.5225519551794533,2.4419785594271044,0.75
narrow_band,speed_curve_matched,steer_rms_deg,C-minus-B,4,10,8,-0.13195439477305437,-0.12754735578362314,-0.21885050584305824,-0.09313991921529093,1.0
narrow_band,speed_curve_matched,actual_curv_rms_1pm,C-minus-B,4,10,8,-0.26558721881170244,-0.25528653063400314,-0.43212408132481067,-0.19589773421838175,1.0
narrow_band,speed_curve_matched,lat_accel_rms_mps2,C-minus-B,4,10,8,-0.02012360885325078,-0.01564773629071224,-0.03981885512910348,-0.01248704290982908,1.0
narrow_band,speed_curve_matched,cmd_curv_rms_1pm,C-minus-B,4,10,8,-0.349364176565015,-0.2907194698628882,-0.7487886052756212,-0.13830870755572394,1.0
narrow_band,speed_curve_matched,desired_curv_rms_1pm,C-minus-B,4,10,8,-0.3493632990369854,-0.290777720914009,-0.7487575002336799,-0.13828056323550075,1.0
narrow_band,gps_speed_curve_matched,steer_rms_deg,C-minus-B,3,3,3,-0.12638174275816547,-0.14350927847432268,-0.17189505180778872,-0.092126671325851,1.0
narrow_band,gps_speed_curve_matched,actual_curv_rms_1pm,C-minus-B,3,3,3,-0.26201421198183733,-0.32055691867268205,-0.3880403903004111,-0.14492879860014785,1.0
narrow_band,gps_speed_curve_matched,lat_accel_rms_mps2,C-minus-B,3,3,3,-0.017616748261877486,-0.02184285077255613,-0.02766395443687984,-0.009164543240520198,1.0
narrow_band,gps_speed_curve_matched,cmd_curv_rms_1pm,C-minus-B,3,3,3,-0.305114247291703,-0.33579322694132124,-0.3487859026930036,-0.2437562879924665,1.0
narrow_band,gps_speed_curve_matched,desired_curv_rms_1pm,C-minus-B,3,3,3,-0.3051645958261567,-0.33579787257571386,-0.34878192334288344,-0.24389804232704237,1.0
primary,speed_curve_matched,steer_rms_deg,B-minus-A,3,14,8,0.3196176970081683,0.13848957431721387,0.13848957431721387,1.1070091638651223,0.0
primary,speed_curve_matched,actual_curv_rms_1pm,B-minus-A,3,14,8,0.8740738402421758,0.3968018477033646,0.3968018477033646,3.2441564074495695,0.0
primary,speed_curve_matched,lat_accel_rms_mps2,B-minus-A,3,14,8,0.06004226238679714,0.028841678522627666,0.019024334171880958,0.1865931486554044,0.0
primary,speed_curve_matched,cmd_curv_rms_1pm,B-minus-A,3,14,8,1.116679249985019,0.620570749212957,0.5326862174016692,3.3335681584114663,0.0
primary,speed_curve_matched,desired_curv_rms_1pm,B-minus-A,3,14,8,1.1167294715324747,0.6205984189506825,0.5327771569159306,3.333920948337181,0.0
primary,gps_speed_curve_matched,steer_rms_deg,B-minus-A,2,3,2,0.039318554042733656,-0.11432522175879112,-0.11432522175879112,0.19296232984425843,0.5
primary,gps_speed_curve_matched,actual_curv_rms_1pm,B-minus-A,2,3,2,0.09927140877495377,-0.02645548794963415,-0.02645548794963415,0.2249983054995417,0.5
primary,gps_speed_curve_matched,lat_accel_rms_mps2,B-minus-A,2,3,2,0.024234947975224012,0.020164203328939673,0.020164203328939673,0.028305692621508352,0.0
primary,gps_speed_curve_matched,cmd_curv_rms_1pm,B-minus-A,2,3,2,0.10722391844729773,-0.1312767660842984,-0.1312767660842984,0.34572460297889385,0.5
primary,gps_speed_curve_matched,desired_curv_rms_1pm,B-minus-A,2,3,2,0.10721919165673344,-0.13124645619973396,-0.13124645619973396,0.34568483951320084,0.5
primary,speed_curve_matched,steer_rms_deg,C-minus-A,8,36,19,-0.15229476719980822,-0.0906702306356102,-0.31595163075402466,0.04216059414771575,0.75
primary,speed_curve_matched,actual_curv_rms_1pm,C-minus-A,8,36,19,-0.5919155989663805,-0.8179636036397693,-1.1896303219955748,0.025781226398544643,0.75
primary,speed_curve_matched,lat_accel_rms_mps2,C-minus-A,8,36,19,-0.02970152658442678,-0.029392102082194074,-0.057885823959577205,-0.0002489215649161812,0.75
primary,speed_curve_matched,cmd_curv_rms_1pm,C-minus-A,8,36,19,0.03225488269243046,0.011641928621748066,-0.42605941031468275,0.6148031754297726,0.5
