setting,subset,metric,comparison,stratum,a_n_windows,b_n_windows,weight,a_median,b_median,diff
loose_curve,gps_speed_curve_matched,actual_curv_rms_1pm,B-minus-A,-9|-1|10|-1,2,1,1.0,1.9788225047491927,1.9523670167995586,-0.02645548794963415
loose_curve,gps_speed_curve_matched,lat_accel_rms_mps2,B-minus-A,-6|-1|10|-1,1,1,1.0,0.10558823623968132,0.13389392886118967,0.028305692621508352
loose_curve,gps_speed_curve_matched,lat_accel_rms_mps2,B-minus-A,-9|-1|10|-1,2,1,1.0,0.1260743843309497,0.14623858765988937,0.020164203328939673
loose_curve,gps_speed_curve_matched,cmd_curv_rms_1pm,B-minus-A,-6|-1|10|-1,1,1,1.0,1.4544419289809063,1.8001665319598001,0.34572460297889385
loose_curve,gps_speed_curve_matched,cmd_curv_rms_1pm,B-minus-A,-9|-1|10|-1,2,1,1.0,1.7169438053815385,1.58566703929724,-0.1312767660842984
loose_curve,gps_speed_curve_matched,desired_curv_rms_1pm,B-minus-A,-6|-1|10|-1,1,1,1.0,1.4544062229458508,1.8000910624590516,0.34568483951320084
loose_curve,gps_speed_curve_matched,desired_curv_rms_1pm,B-minus-A,-9|-1|10|-1,2,1,1.0,1.7169602920958207,1.5857138358960867,-0.13124645619973396
loose_curve,speed_curve_matched,steer_rms_deg,C-minus-A,10|-1,9,1,1.0,0.7289363713245116,0.6382661406889014,-0.0906702306356102
loose_curve,speed_curve_matched,steer_rms_deg,C-minus-A,11|-1,1,4,1.0,0.3602472087374548,0.46739422532719666,0.10714701658974185
loose_curve,speed_curve_matched,steer_rms_deg,C-minus-A,8|-1,8,4,4.0,1.0143299785864,0.5993642466608846,-0.41496573192551534
loose_curve,speed_curve_matched,steer_rms_deg,C-minus-A,8|-2,4,1,1.0,1.2316698050476746,0.6172209434256407,-0.6144488616220339
loose_curve,speed_curve_matched,steer_rms_deg,C-minus-A,9|-1,8,4,4.0,0.8045610370776101,0.7120499827423692,-0.09251105433524087
loose_curve,speed_curve_matched,steer_rms_deg,C-minus-A,9|-2,2,2,2.0,1.115308237721217,1.295373176136943,0.18006493841572602
loose_curve,speed_curve_matched,steer_rms_deg,C-minus-A,9|-3,3,1,1.0,0.8193678108164526,0.6290222144733536,-0.190345596343099
loose_curve,speed_curve_matched,steer_rms_deg,C-minus-A,9|0,3,2,2.0,1.7045954079206842,1.516234465775943,-0.1883609421447412
loose_curve,speed_curve_matched,actual_curv_rms_1pm,C-minus-A,10|-1,9,1,1.0,1.6917384114753824,1.5611512820800684,-0.13058712939531403
loose_curve,speed_curve_matched,actual_curv_rms_1pm,C-minus-A,11|-1,1,4,1.0,0.8082212688151104,0.9428248270347939,0.1346035582196835
loose_curve,speed_curve_matched,actual_curv_rms_1pm,C-minus-A,8|-1,8,4,4.0,2.530083808320284,1.5253718013248714,-1.0047120069954125
loose_curve,speed_curve_matched,actual_curv_rms_1pm,C-minus-A,8|-2,4,1,1.0,3.1450847594586406,1.534029989120579,-1.6110547703380615
loose_curve,speed_curve_matched,actual_curv_rms_1pm,C-minus-A,9|-1,8,4,4.0,2.0575072310764355,1.7683965628406497,-0.2891106682357858
loose_curve,speed_curve_matched,actual_curv_rms_1pm,C-minus-A,9|-2,2,2,2.0,2.8349400590362483,3.333363969294077,0.4984239102578285
loose_curve,speed_curve_matched,actual_curv_rms_1pm,C-minus-A,9|-3,3,1,1.0,1.8745325386955467,1.5807688139758729,-0.2937637247196738
loose_curve,speed_curve_matched,actual_curv_rms_1pm,C-minus-A,9|0,3,2,2.0,4.83003350923685,2.80973657358083,-2.0202969356560203
loose_curve,speed_curve_matched,lat_accel_rms_mps2,C-minus-A,10|-1,9,1,1.0,0.10582818667494036,0.09359731947684712,-0.012230867198093243
loose_curve,speed_curve_matched,lat_accel_rms_mps2,C-minus-A,11|-1,1,4,1.0,0.06948825194792417,0.07442634416182697,0.004938092213902803
loose_curve,speed_curve_matched,lat_accel_rms_mps2,C-minus-A,8|-1,8,4,4.0,0.12171221400709238,0.06659374625703944,-0.05511846775005294
loose_curve,speed_curve_matched,lat_accel_rms_mps2,C-minus-A,8|-2,4,1,1.0,0.14134642268980066,0.07255966482717494,-0.06878675786262572
loose_curve,speed_curve_matched,lat_accel_rms_mps2,C-minus-A,9|-1,8,4,4.0,0.1094587855156556,0.09403110471026738,-0.015427680805388228
loose_curve,speed_curve_matched,lat_accel_rms_mps2,C-minus-A,9|-2,2,2,2.0,0.15728086755078188,0.18624324197300515,0.02896237442222327
loose_curve,speed_curve_matched,lat_accel_rms_mps2,C-minus-A,9|-3,3,1,1.0,0.13548607691319603,0.08194482903744552,-0.053541247875750514
loose_curve,speed_curve_matched,lat_accel_rms_mps2,C-minus-A,9|0,3,2,2.0,0.24771827561337326,0.15760705183219945,-0.09011122378117381
loose_curve,speed_curve_matched,cmd_curv_rms_1pm,C-minus-A,10|-1,9,1,1.0,1.4544419289809063,1.34489435464663,-0.1095475743342762
loose_curve,speed_curve_matched,cmd_curv_rms_1pm,C-minus-A,11|-1,1,4,1.0,0.6074025538324727,0.9004632758047912,0.2930607219723186
loose_curve,speed_curve_matched,cmd_curv_rms_1pm,C-minus-A,8|-1,8,4,4.0,2.27433118710608,1.6548252316128282,-0.6195059554932518
