setting,drive_id,config_id,driving_model,controller_set,n_windows,eligible_min,speed_median_mph,road_curv_abs_median,steer_rms_deg,actual_curv_rms_1pm,lat_accel_rms_mps2,cmd_curv_rms_1pm,desired_curv_rms_1pm,model_path_y20_rms_m,lane_center_y20_rms_m,steer_pp_sine_deg,lat_disp_pp_sine_cm,steer_peak_freq_hz
narrow_band,drive_01,A,CD210,set1,6,2.5366666666666666,51.56751885890439,0.0003799080990476438,0.9241578402971837,2.303735181510944,0.12571408475659002,2.056355904532759,2.0564242101991996,0.040520600781079635,0.12387971749483102,2.613913103043412,21.50562264907927,0.1953125
narrow_band,drive_02,B,CD210,set2,11,5.065833333333333,61.94258441167891,0.0003380844241418988,0.5434117700012657,1.337466211558381,0.1007278042190487,1.2402300601970715,1.2402219555993148,0.030107448773457567,0.09227494496553881,1.537000590177918,21.76045903083917,0.1953125
narrow_band,drive_03,C,OPM7,set1,23,10.294166666666666,53.620750502904265,0.0004038594570285138,0.5340125515532644,1.3372060284689824,0.07193384549634825,1.497738799779292,1.497739404287352,0.024094408770158615,0.058344463819112666,1.5104155857681765,9.056780677642076,0.234375
narrow_band,drive_04,A,CD210,set1,15,6.528333333333333,54.29212532577074,0.00037249763132448993,0.8333966014645172,1.9140602990967948,0.10926841436866244,1.6903975331269963,1.6903463846880968,0.033139394231054345,0.08218761967017829,2.357201553253531,16.368231621755886,0.1953125
narrow_band,drive_05,C,OPM7,set1,8,3.6075,62.717726312484785,0.00027649656324727444,0.517594676961558,1.1533629949310131,0.073497067725563,1.0716522560214359,1.0716659288097041,0.021947316775096513,0.0659237207222465,1.463978823942313,21.568265321704033,0.15625
narrow_band,drive_06,A,CD210,set1,21,9.2075,52.32217165922612,0.00036814860803567736,0.8084918050044732,1.875486376518024,0.10325133136360246,1.5836197975206128,1.5836295427659945,0.03127369740068423,0.08347601983306187,2.2867601514096596,19.39696103493045,0.1953125
primary,drive_01,A,CD210,set1,6,2.5366666666666666,51.56751885890439,0.0003799080990476438,0.9322942423003757,2.329497976823223,0.12836390262796327,2.092908645059422,2.092983376273218,0.038882567564544085,0.12298500297802334,2.6369263231670796,22.261841937601545,0.1953125
primary,drive_02,B,CD210,set2,11,5.065833333333333,61.94258441167891,0.0003380844241418988,0.739736467201132,1.712604632738698,0.13239550115741291,1.58566703929724,1.5857138358960867,0.03322205695477014,0.10437932031721127,2.092290688995602,25.370388083073646,0.15625
primary,drive_03,C,OPM7,set1,23,10.294166666666666,53.620750502904265,0.0004038594570285138,0.616710285734009,1.4312269193881793,0.08578663199170916,1.5336598889840398,1.533659876285025,0.026774740856583747,0.06528940475911761,1.7443201002800446,10.687699638852882,0.234375
primary,drive_04,A,CD210,set1,15,6.528333333333333,54.29212532577074,0.00037249763132448993,0.8409265742872691,2.0888995057393815,0.1127746309101268,1.8754412061886625,1.875359110568675,0.035189776452930005,0.0870360197018572,2.378499532634004,17.268539057904796,0.1953125
primary,drive_05,C,OPM7,set1,8,3.6075,62.717726312484785,0.00027649656324727444,0.611871549754855,1.4148543562881275,0.09169326031509292,1.3002329301558242,1.3002455126796835,0.026018510300811218,0.0682725115979923,1.73063408818712,41.217558689271,0.13671875
primary,drive_06,A,CD210,set1,21,9.2075,52.32217165922612,0.00036814860803567736,0.8193678108164526,2.0261149564134895,0.10866337675810256,1.6482627457724488,1.6482662375918995,0.03287164506096427,0.08617876355658542,2.3175221412571596,21.854725886695032,0.1953125
strict_curve,drive_01,A,CD210,set1,6,2.535833333333333,51.56751885890439,0.0003799080990476438,0.9322942423003757,2.329497976823223,0.12836390262796327,2.092908645059422,2.092983376273218,0.038882567564544085,0.12298500297802334,2.6369263231670796,22.261841937601545,0.1953125
strict_curve,drive_02,B,CD210,set2,10,4.531666666666666,61.72177109073131,0.0003261033055862612,0.7358760339235144,1.8031064787702822,0.1303316378882424,1.6005850815429294,1.6006050668894263,0.033436372151283464,0.10452606271762852,2.081371734799916,25.35470500739644,0.15625
strict_curve,drive_03,C,OPM7,set1,20,8.719166666666666,61.82642412244363,0.0003849137004317591,0.5493762654326984,1.311253813851079,0.08604166593081386,1.5285587142453667,1.5285602960894993,0.026373168490227885,0.06686970554804389,1.5538707308416067,11.265557362820788,0.234375
strict_curve,drive_04,A,CD210,set1,13,5.412499999999999,54.48162940799776,0.00036213095595023434,0.8353909055061834,1.8739747959506932,0.11020541293512902,1.7176247904715756,1.7176719279373454,0.03363650058868933,0.09366280714200152,2.362842296899971,17.90187415780374,0.1953125
strict_curve,drive_05,C,OPM7,set1,8,3.5758333333333336,62.717726312484785,0.00027649656324727444,0.6019872542648896,1.3297061280489002,0.09021048200819344,1.294269558772678,1.294282348321977,0.025227918571880333,0.0682725115979923,1.7026770787142957,41.217558689271,0.13671875
strict_curve,drive_06,A,CD210,set1,18,7.9191666666666665,54.50076549580653,0.00033938682950658046,0.7904864815643459,1.9477340580960778,0.10434850364840173,1.6110188604224511,1.6110347440532,0.03114409727890081,0.08564556063324658,2.2358334062017753,19.173073400413585,0.1953125
